cluster,text,frequency
0,the,8
0,report,7
0,named,7
0,ng,7
0,propt,7
0,p,7
0,l,7
0,published,7
0,as,7
0,of,7
0,is,7
0,now,7
0,available,7
0,for,7
0,viewing,7
0,on,7
0,websitethe,5
0,website,2
0,revisionthe,1
1,the,6
1,report,5
1,named,5
1,ng,5
1,price,5
1,p,5
1,l,5
1,published,5
1,as,5
1,of,5
1,is,5
1,now,5
1,available,5
1,for,5
1,viewing,5
1,on,5
1,websitethe,4
1,website,1
2,gas,20
2,please,10
2,find,10
2,natural,10
2,market,10
2,analysis,10
2,thanks,10
2,nat,10
2,the,9
2,for,9
2,today,9
2,docattached,9
2,bob,8
2,mckinney,8
2,mark,2
2,current,1
2,over,1
2,dallas,1
2,washattached,1
2,a,1
3,continental,7
3,for,7
3,image,7
3,com,6
3,specials,5
3,john,5
3,to,5
3,and,5
3,a,5
3,this,5
3,arnoldtuesday,4
3,the,4
3,you,4
3,october,3
3,europe,3
3,in,3
3,double,2
3,miles,2
3,onepass,2
3,members,2
4,to,15
4,herein,10
4,is,10
4,that,10
4,we,10
4,or,10
4,an,10
4,offer,10
4,information,5
4,contained,5
4,based,5
4,on,5
4,sources,5
4,believe,5
4,bereliable,5
4,but,5
4,do,5
4,not,5
4,represent,5
4,it,5
5,to,21
5,herein,14
5,is,14
5,that,14
5,we,14
5,or,14
5,an,14
5,offer,14
5,information,7
5,contained,7
5,based,7
5,on,7
5,sources,7
5,believe,7
5,bereliable,7
5,but,7
5,do,7
5,not,7
5,represent,7
5,it,7
6,order,8
6,winelibrary,8
6,com,8
6,e,7
6,please,5
6,for,5
6,mail,5
6,a,5
6,you,5
6,wine,5
6,to,4
6,place,4
6,an,4
6,call,4
6,ask,4
6,dept,4
6,www,4
6,us,4
6,at,4
6,swl,4
7,your,10
7,to,7
7,news,5
7,you,4
7,and,4
7,this,4
7,week||s,4
7,please,4
7,submit,4
7,business,4
7,by,4
7,noon,4
7,kathie,4
7,team,3
7,would,3
7,like,3
7,contribute,3
7,newsletter,3
7,highlight,3
7,or,3
8,image,29
8,com,8
8,and,6
8,to,6
8,buy,5
8,prices,5
8,for,4
8,on,4
8,of,4
8,a,3
8,from,3
8,you,3
8,here,3
8,hp,3
8,more,3
8,at,3
8,not,3
8,our,3
8,polk,3
8,audio,3
9,of,11
9,cftc,10
9,gas,8
9,for,8
9,natural,7
9,the,7
9,traders,6
9,ng,6
9,please,6
9,find,6
9,this,6
9,summary,6
9,most,6
9,recent,6
9,data,6
9,thanks,6
9,mark,6
9,weeks,5
9,commitment,5
9,docattached,5
10,report,8
10,the,6
10,this,6
10,that,5
10,following,4
10,expense,4
10,is,4
10,for,4
10,employee,4
10,name,4
10,in,4
10,to,3
10,on,3
10,a,3
10,week,3
10,please,3
10,ready,2
10,approval,2
10,justin,2
10,k,2
11,image,110
11,the,9
11,in,7
11,news,7
11,to,7
11,quote,5
11,of,5
11,a,5
11,financial,4
11,livecharts,4
11,wharton,4
11,and,4
11,alumni,4
11,reiscast,4
11,our,4
11,your,3
11,savings,3
11,imag,3
11,e,3
11,funds,3
12,you,12
12,and,7
12,owe,6
12,if,5
12,to,4
12,we,4
12,are,4
12,is,3
12,all,3
12,it,3
12,not,3
12,just,3
12,of,3
12,can,3
12,help,3
12,your,3
12,us,3
12,or,3
12,more,3
12,a,3
13,you,10
13,to,10
13,i,9
13,the,7
13,it,6
13,a,5
13,from,5
13,in,5
13,but,5
13,and,5
13,original,4
13,message,4
13,want,4
13,not,4
13,have,4
13,will,4
13,for,3
13,pmto,3
13,at,3
13,me,3
14,news,6
14,of,5
14,alumni,5
14,the,3
14,at,3
14,new,3
14,on,3
14,york,2
14,times,2
14,energy,2
14,for,2
14,a,2
14,to,2
14,from,2
14,as,2
14,image,1
14,vol,1
14,no,1
14,||,1
14,october,1
15,enron,8
15,wall,5
15,street,5
15,journal,5
15,to,5
15,natural,4
15,talks,4
15,northwest,3
15,in,3
15,over,3
15,uk,3
15,dow,3
15,jones,3
15,service,3
15,with,2
15,portland,2
15,c,2
15,washington,2
15,s,2
15,trading,2
16,enron,6
16,news,4
16,of,3
16,third,2
16,quarter,2
16,earnings,2
16,which,2
16,on,2
16,for,2
16,the,2
16,to,2
16,usa,2
16,fall,2
16,reuters,2
16,english,2
16,service,2
16,merrill,2
16,upgrades,2
16,today,1
16,we,1
17,enron,5
17,to,4
17,journal,4
17,in,3
17,wall,3
17,street,3
